Area (m²),Elevation (m),Volume (m³)
53384002.191093795,750.0,6978129106.849791
53646588.25726775,751.0,7031922284.415845
53939766.87484062,752.0,7085997168.392697
54210001.0788643,753.0,7140336338.021913
54468338.17956618,754.0,7194935544.338018
54730074.45264573,755.0,7249810083.6167145
55019004.10474652,756.0,7304975677.030248
55312182.72231939,757.0,7360428500.509692
55593464.236570455,758.0,7416150708.400066
55850951.54417793,759.0,7472138901.528992
56125434.71367368,760.0,7528404127.2066965
56405016.64173592,761.0,7584955733.157219
56698195.259308785,762.0,7641801792.414956
56993923.25616489,763.0,7698924884.221472
57252260.35686678,764.0,7756332656.714617
57563284.62942234,765.0,7814023835.204748
57819072.35084098,766.0,7871987372.3816395
58108002.00294177,767.0,7930234315.555518
58385884.34481518,768.0,7988776986.726253
58699457.99665398,769.0,8047629832.376449
59006233.30373747,770.0,8106797951.264672
59330004.47270924,771.0,8166269021.391054
59612135.78005472,772.0,8226009900.824913
59869623.08766219,773.0,8286026963.014456
60164501.29142388,774.0,8346342727.476686
60467027.6330353,775.0,8406959743.590885
60767004.59536348,776.0,8467851667.771128
61016843.76512123,777.0,8529027422.844904
61334666.3824321,778.0,8590508678.536123
61627845.00000497,779.0,8652294585.05169
61943968.03112701,780.0,8714385567.288149
62237996.44179429,781.0,8776760380.418144
62511629.81819563,782.0,8839423273.407146
62814156.159807056,783.0,8902383169.082645
63105635.19119109,784.0,8965638792.755001
63405612.15351927,785.0,9029182921.182909
63682644.70229827,786.0,9093019378.435297
63990269.802476175,787.0,9157163460.787863
64297894.90265408,788.0,9221633438.792135
64642061.105891794,789.0,9286416990.448248
64925042.20633169,790.0,9351502218.652876
65245414.20292581,791.0,9416900170.71625
65550489.92382047,792.0,9482595975.259214
65841119.1621101,793.0,9548588782.488678
66144495.29681593,794.0,9614897287.852716
66472515.43125977,795.0,9681521066.454782
66775041.772871196,796.0,9748455444.432856
67093714.18327648,797.0,9815697872.407654
67391141.76632142,798.0,9883239002.65514
67691118.7286496,799.0,9951085633.520067
68002143.00120516,800.0,10019240314.38172
68307218.72209983,801.0,10087698371.378078
68608895.27061683,802.0,10156461504.095331
68917370.16388915,803.0,10225523339.08527
69206299.81598996,804.0,10294894498.761576
69536019.53662263,805.0,10364588154.917212
69851292.77465026,806.0,10434602183.069443
70176763.52981086,807.0,10504924261.2184
70467392.76810049,808.0,10575548015.915873
70780116.62684487,809.0,10646467923.506748
71059698.55490711,810.0,10717679310.129007
71363074.68961294,811.0,10789213193.230598
71704691.5135674,812.0,10861075096.466633
72019114.95850062,813.0,10933237826.45809
72306345.02441259,814.0,11005697984.03259
72613970.12459049,815.0,11078472989.948572
72936041.70737343,816.0,11151570067.447336
73258113.29015636,817.0,11224997289.56328
73596330.94173318,818.0,11298747857.951649
73904805.8350055,819.0,11372800102.888535
74199684.0387672,820.0,11447162947.20143
74526004.58702222,821.0,11521844463.92473
74837028.85957778,822.0,11596828082.093094
75130207.47715063,823.0,11672117625.775448
75448879.88755593,824.0,11747731365.52332
75778599.6081886,825.0,11823663777.681597
76086224.7083665,826.0,11899916561.836468
76419343.60137683,827.0,11976496941.229237
76741415.18415977,828.0,12053390044.48075
77044791.3188656,829.0,12130587798.55661
77350716.83285467,830.0,12208103800.146328
77681286.34658176,831.0,12285944422.698112
77999958.75698705,832.0,12364094369.936264
78299935.71931523,833.0,12442547693.30912
78606711.02639872,834.0,12521319689.092382
78937280.5401258,835.0,12600423529.079014
79270399.43313614,836.0,12679854964.303541
79592471.01591907,837.0,12759612720.076324
79923040.52964616,838.0,12839699770.673193
80251060.66409001,839.0,12920119515.266523
80588428.5225724,840.0,13000870679.166676
80913899.277733,841.0,13081953262.37365
81251267.13621539,842.0,13163360041.646143
81562291.40877095,843.0,13245096540.639269
81910706.57748073,844.0,13327149162.663517
82194537.47101504,845.0,13409511109.374132
82529355.95021419,846.0,13492190028.908964
82828483.11944796,847.0,13575188470.647295
83168400.3572136,848.0,13658530228.795769
83515115.93973455,849.0,13742212753.975103
83849934.4189337,850.0,13826224573.978523
84173705.58790548,851.0,13910553791.702707
84484729.86046104,852.0,13995206780.595861
84821247.92584902,853.0,14080196287.554405
85157765.991237,854.0,14165543557.405697
85536773.71134569,855.0,14251261337.046152
85898785.5695661,856.0,14337320308.614016
86219157.56616022,857.0,14423714948.454172
86570122.11415324,858.0,14510458853.256132
86917687.48976861,859.0,14597546499.364784
87257604.72753425,860.0,14684966414.57335
87582225.68960044,861.0,14772715199.709457
87915344.58261077,862.0,14860786906.221441
88228068.44135515,863.0,14949181109.212755
88560337.54127106,864.0,15037933499.993364
88944444.01994623,865.0,15127032606.356493
89253768.70631297,866.0,15216456333.681688
89593685.94407861,867.0,15306213179.899895
89920006.49233362,868.0,15396324389.838472
90302413.38481997,869.0,15486804834.876572
90658476.69137947,870.0,15577630295.911003
90992445.37748422,871.0,15668789300.734993
91325564.27049455,872.0,15760287797.9002
91671430.05992109,873.0,15852132585.75138
92018145.64244203,874.0,15944327488.357462
92371659.5697183,875.0,16036862733.097855
92698829.91106772,876.0,16129735345.69673
93046395.2866831,877.0,16222965296.291805
93413505.90347,878.0,16316559383.227839
93774667.96859598,879.0,16410508258.78079
94123083.13730577,880.0,16504792377.709488
94445154.7200887,881.0,16599401542.4968
94773174.85453255,882.0,16694347225.349499
95118190.85086468,883.0,16789645147.439833
95477653.32980184,884.0,16885292334.49197
95816720.77447307,885.0,16981287086.919724
96172784.08103257,886.0,17077626005.550714
96505053.18094848,887.0,17174307815.695301
96858567.10822475,888.0,17271352062.594654
97229926.6904837,889.0,17368776167.00721
97618282.13463095,890.0,17466580553.829517
97990491.50998433,891.0,17564746102.71695
98340606.26488294,892.0,17663256242.704166
98679673.70955417,893.0,17762115647.65319
99039136.18849133,894.0,17861319218.80545
99368006.11602959,895.0,17960879278.160816
99752112.59470476,896.0,18060812396.68463
100114124.45292518,897.0,18161118149.480347
100497381.13850594,898.0,18261795261.858322
100856843.6174431,899.0,18362835235.88761
101223104.44113557,900.0,18464250818.46463
101608060.71290515,901.0,18566038610.417004
101967523.19184232,902.0,18668187139.537956
102329535.05006273,903.0,18770700654.79296
102697495.45994404,904.0,18873581705.5613
103064606.07673094,905.0,18976847712.601406
103467408.00348322,906.0,19080509298.32696
103855763.44763047,907.0,19184552441.15191
104230522.20226708,908.0,19288961844.80055
104588285.09501542,909.0,19393745157.410732
104978340.12535149,910.0,19498894730.84461
105320806.74240038,911.0,19604409290.412537
105708312.39345321,912.0,19710300733.217834
106074573.21714568,913.0,19816562260.915752
106448482.17868789,914.0,19923200671.851044
106828339.69189098,915.0,20030209592.575497
107189501.75701697,916.0,20137579675.365078
107550663.82214296,917.0,20245330465.460957
107950916.369612,918.0,20353468336.31134
108324825.3311542,919.0,20461974167.571606
108686837.18937461,920.0,20570854757.586506
109074342.84042744,921.0,20680119454.080082
109455050.14672495,922.0,20789783978.22458
109873998.1422711,923.0,20899853003.88202
110264053.17260717,924.0,21010313359.259438
110656657.58222649,925.0,21121168018.632664
111052661.16422346,926.0,21232420381.174076
111452063.91859809,927.0,21344047077.573578
111801328.88040228,928.0,21456057880.45175
112220276.87594843,929.0,21568450665.325867
112565292.87228055,930.0,21681209286.127125
112951948.73023897,931.0,21794359236.64836
113347952.31223595,932.0,21907907315.234333
113748204.85970499,933.0,22021839925.195526
114117015.0626807,934.0,22136151967.773376
114507070.09301677,935.0,22250853215.588467
114895425.53716402,936.0,22365934745.81331
115267634.9125174,937.0,22481403781.6892
115670436.83926968,938.0,22597264997.078167
116051993.93866162,939.0,22713523065.842224
116464143.58945246,940.0,22830185211.222675
116860147.17144944,941.0,22947229338.599064
117228107.58133075,942.0,23064646950.040447
117607115.30143943,943.0,23182432946.78826
117964878.19418778,944.0,23300582654.980484
118334538.1902579,945.0,23419114345.168648
118728842.18606605,946.0,23538048412.387016
119139292.25066806,947.0,23657389105.60106
119542094.17742035,948.0,23777130901.155666
119941496.93179497,949.0,23897244056.292534
120284813.34193827,950.0,24017729845.7013
120686765.47559614,951.0,24138607389.726593
121068322.57498808,952.0,24259872864.299484
121462626.57079622,953.0,24381541990.592224
121875626.01468147,954.0,24503616468.190998
122273329.18286727,955.0,24626091623.233788
122676980.90271397,956.0,24748972129.582615
123084031.79493833,957.0,24872240566.479042
123452841.99791405,958.0,24995905006.957466
123876038.95893227,959.0,25119990944.81072
124295836.74757282,960.0,25244482658.866554
124687591.36409773,961.0,25369356779.814877
125060650.53254552,962.0,25494617981.517704
125461752.87310898,963.0,25620276461.49217
125855207.07582271,964.0,25746328820.565895
126249511.07163085,965.0,25872796303.566242
126685454.92906529,966.0,25999689532.90689
127101003.75223379,967.0,26126983014.79501
127485960.02400337,968.0,26254683547.57535
127915105.53668249,969.0,26382811951.178734
128341701.67007837,970.0,26511363126.846584
128760649.66562451,971.0,26640328151.751415
129169400.1440377,972.0,26769700227.54847
129574751.45007321,973.0,26899470856.306805
129966506.06659812,974.0,27029631540.095478
130354861.51074536,975.0,27160180154.43175
130742367.1617982,976.0,27291114574.832886
131126473.64047337,977.0,27422447973.09185
131540322.87745303,978.0,27554174825.553528
131913382.04590082,979.0,27686295132.21792
132327231.28288049,980.0,27818833537.084763
132749578.4508043,981.0,27951783666.70585
133150680.79136775,982.0,28085141697.012253
133565379.82144183,983.0,28218905078.624695
133961383.4034388,984.0,28353089957.611965
134408374.57110062,985.0,28487702707.42227
134817125.04951382,986.0,28622731006.055748
135239472.21743762,987.0,28758176553.09858
135651621.86822847,988.0,28894022352.68888
136039977.3123757,989.0,29030273078.68867
136461474.68720508,990.0,29166921082.9601
136834533.85565287,991.0,29303963391.227337
137250082.67882136,992.0,29441423797.697025
137670730.26055634,993.0,29579289130.576202
138059935.497798,994.0,29717568737.588905
138499278.5276101,995.0,29856274940.735004
138913127.76458976,996.0,29995383945.807858
139304882.38111466,997.0,30134891503.84199
139710233.68715018,998.0,30274811211.526917
140129181.68269634,999.0,30415128622.380024
140505640.02352178,1000.0,30555826740.53943
140890596.29529136,1001.0,30696941257.315098
141338437.2560476,1002.0,30838496816.706768
141772681.5272932,1003.0,30980498517.473007
142230720.00518242,1004.0,31122936586.993225
142645419.0352565,1005.0,31265801252.64684
143083912.27197418,1006.0,31409075518.57196
143464619.5782717,1007.0,31552756835.38931
143898014.0564229,1008.0,31696851151.650543
144290618.4660422,1009.0,31841337222.5283
144681523.28947267,1010.0,31986227794.919
145099621.4919244,1011.0,32131527542.684658
145499874.03939345,1012.0,32277241139.687298
145927319.96588376,1013.0,32423388556.064636
146367512.78879026,1014.0,32569972766.092503
146800907.26694146,1015.0,32716984422.04686
147222404.64177084,1016.0,32864406528.06582
147621807.39614546,1017.0,33012250131.459606
148065399.39142963,1018.0,33160517781.607506
148469900.90437075,1019.0,33309192482.64763
148879501.17587835,1020.0,33458294629.614243
149324792.75735134,1021.0,33607839943.679596
149765835.37335226,1022.0,33757813128.567986
150180534.40342635,1023.0,33908223107.106903
150639422.67440996,1024.0,34059057557.296482
151029477.70474604,1025.0,34210286311.48187
